number_of_violations,grade,facility_zip,STATE,poverty_percent,AirQuality,WaterPollution
2,A,90010,CA,11.0,36.62162162,61.29943503
1,A,90010,CA,11.0,36.62162162,61.29943503
3,A,90010,CA,11.0,36.62162162,61.29943503
6,A,90010,CA,11.0,36.62162162,61.29943503
16,A,90020,CA,11.0,36.62162162,61.29943503
18,A,90020,CA,11.0,36.62162162,61.29943503
14,A,90020,CA,11.0,36.62162162,61.29943503
16,A,90020,CA,11.0,36.62162162,61.29943503
16,A,90020,CA,11.0,36.62162162,61.29943503
16,A,90020,CA,11.0,36.62162162,61.29943503
12,A,90020,CA,11.0,36.62162162,61.29943503
16,A,90020,CA,11.0,36.62162162,61.29943503
18,A,90020,CA,11.0,36.62162162,61.29943503
2,A,90037,CA,11.0,36.62162162,61.29943503
4,A,90037,CA,11.0,36.62162162,61.29943503
4,A,90037,CA,11.0,36.62162162,61.29943503
6,A,90037,CA,11.0,36.62162162,61.29943503
4,A,90037,CA,11.0,36.62162162,61.29943503
4,A,90037,CA,11.0,36.62162162,61.29943503
5,A,90013,CA,11.0,36.62162162,61.29943503
9,A,90013,CA,11.0,36.62162162,61.29943503
4,A,90013,CA,11.0,36.62162162,61.29943503
4,A,90013,CA,11.0,36.62162162,61.29943503
5,A,90013,CA,11.0,36.62162162,61.29943503
3,A,90013,CA,11.0,36.62162162,61.29943503
8,A,90010,CA,11.0,36.62162162,61.29943503
8,A,90010,CA,11.0,36.62162162,61.29943503
9,A,90010,CA,11.0,36.62162162,61.29943503
4,A,90038,CA,11.0,36.62162162,61.29943503
6,A,90019,CA,11.0,36.62162162,61.29943503
4,A,90019,CA,11.0,36.62162162,61.29943503
10,A,90019,CA,11.0,36.62162162,61.29943503
6,A,90019,CA,11.0,36.62162162,61.29943503
18,A,90019,CA,11.0,36.62162162,61.29943503
12,A,90019,CA,11.0,36.62162162,61.29943503
6,A,90042,CA,11.0,36.62162162,61.29943503
8,A,90042,CA,11.0,36.62162162,61.29943503
5,A,90063,CA,11.0,36.62162162,61.29943503
5,A,90063,CA,11.0,36.62162162,61.29943503
6,A,90063,CA,11.0,36.62162162,61.29943503
6,A,90063,CA,11.0,36.62162162,61.29943503
13,B,90063,CA,11.0,36.62162162,61.29943503
6,A,90012,CA,11.0,36.62162162,61.29943503
5,A,90012,CA,11.0,36.62162162,61.29943503
10,B,90012,CA,11.0,36.62162162,61.29943503
8,B,90012,CA,11.0,36.62162162,61.29943503
4,A,90012,CA,11.0,36.62162162,61.29943503
4,A,90012,CA,11.0,36.62162162,61.29943503
6,A,90012,CA,11.0,36.62162162,61.29943503
5,A,90012,CA,11.0,36.62162162,61.29943503
7,A,90021,CA,11.0,36.62162162,61.29943503
5,A,90021,CA,11.0,36.62162162,61.29943503
7,A,90007,CA,11.0,36.62162162,61.29943503
9,A,90007,CA,11.0,36.62162162,61.29943503
6,A,90007,CA,11.0,36.62162162,61.29943503
5,A,90007,CA,11.0,36.62162162,61.29943503
7,A,90007,CA,11.0,36.62162162,61.29943503
8,A,90007,CA,11.0,36.62162162,61.29943503
6,A,90007,CA,11.0,36.62162162,61.29943503
5,A,90007,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
6,B,90003,CA,11.0,36.62162162,61.29943503
10,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90015,CA,11.0,36.62162162,61.29943503
10,A,90015,CA,11.0,36.62162162,61.29943503
12,A,90015,CA,11.0,36.62162162,61.29943503
10,A,90015,CA,11.0,36.62162162,61.29943503
8,A,90015,CA,11.0,36.62162162,61.29943503
4,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90016,CA,11.0,36.62162162,61.29943503
8,A,90016,CA,11.0,36.62162162,61.29943503
6,A,90016,CA,11.0,36.62162162,61.29943503
8,A,90016,CA,11.0,36.62162162,61.29943503
7,A,90016,CA,11.0,36.62162162,61.29943503
12,B,90016,CA,11.0,36.62162162,61.29943503
9,B,90016,CA,11.0,36.62162162,61.29943503
6,A,90022,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
5,A,90003,CA,11.0,36.62162162,61.29943503
4,A,90003,CA,11.0,36.62162162,61.29943503
4,A,90003,CA,11.0,36.62162162,61.29943503
6,A,90003,CA,11.0,36.62162162,61.29943503
3,A,90028,CA,11.0,36.62162162,61.29943503
4,A,90028,CA,11.0,36.62162162,61.29943503
4,A,90028,CA,11.0,36.62162162,61.29943503
4,A,90003,CA,11.0,36.62162162,61.29943503
10,A,90003,CA,11.0,36.62162162,61.29943503
10,A,90003,CA,11.0,36.62162162,61.29943503
14,A,90003,CA,11.0,36.62162162,61.29943503
6,A,90003,CA,11.0,36.62162162,61.29943503
6,A,90003,CA,11.0,36.62162162,61.29943503
6,A,90003,CA,11.0,36.62162162,61.29943503
8,A,90003,CA,11.0,36.62162162,61.29943503
3,A,90017,CA,11.0,36.62162162,61.29943503
3,A,90017,CA,11.0,36.62162162,61.29943503
6,A,90017,CA,11.0,36.62162162,61.29943503
6,A,90017,CA,11.0,36.62162162,61.29943503
3,A,90017,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
3,A,90023,CA,11.0,36.62162162,61.29943503
4,A,90023,CA,11.0,36.62162162,61.29943503
5,A,90023,CA,11.0,36.62162162,61.29943503
7,A,90025,CA,11.0,36.62162162,61.29943503
7,B,90025,CA,11.0,36.62162162,61.29943503
6,A,90024,CA,11.0,36.62162162,61.29943503
6,A,90024,CA,11.0,36.62162162,61.29943503
6,A,90024,CA,11.0,36.62162162,61.29943503
6,A,90024,CA,11.0,36.62162162,61.29943503
2,A,90028,CA,11.0,36.62162162,61.29943503
5,A,90028,CA,11.0,36.62162162,61.29943503
2,A,90028,CA,11.0,36.62162162,61.29943503
4,A,90039,CA,11.0,36.62162162,61.29943503
4,A,90039,CA,11.0,36.62162162,61.29943503
6,A,90039,CA,11.0,36.62162162,61.29943503
14,A,90026,CA,11.0,36.62162162,61.29943503
4,A,90034,CA,11.0,36.62162162,61.29943503
6,A,90034,CA,11.0,36.62162162,61.29943503
10,A,90034,CA,11.0,36.62162162,61.29943503
8,A,90034,CA,11.0,36.62162162,61.29943503
14,A,90034,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
3,A,90045,CA,11.0,36.62162162,61.29943503
2,A,90045,CA,11.0,36.62162162,61.29943503
5,A,90045,CA,11.0,36.62162162,61.29943503
3,A,90045,CA,11.0,36.62162162,61.29943503
8,A,90027,CA,11.0,36.62162162,61.29943503
4,A,90027,CA,11.0,36.62162162,61.29943503
8,A,90027,CA,11.0,36.62162162,61.29943503
16,A,90022,CA,11.0,36.62162162,61.29943503
10,A,90022,CA,11.0,36.62162162,61.29943503
